0	Huawei MediaPad T1 10.0 Quad Core 9.6" Android (KitKat) +EMUI Tablet 8GB, Silver/White (US Warranty)	Electronics > Computers & Accessories > Computers & Tablets > Tablets
1	0o0Egg_X Basic Desktop Kit for Raspberry Pi 3 Model B Case 5V/3A Power Supply Adapter Heatsink Mini fan (7 layer, Black)	Electronics > Computers & Accessories > Computer Components > External Components
2	Moon2020 Replacement Keyboard for Lenovo Thinkpad T460S T470S SN20L82088 01EN723 A0K4 9Z.NCJBT.601 NSK-ZA6BT PK131342B00 (NOT Fit T460 T460P T470 T470P) with Backlight	Electronics > Computers & Accessories > Computer Components > Laptop Replacement Parts
3	160VC Portra 135-36	Electronics > Camera & Photo > Film Photography > Film
4	Rolling Tablet Stand - Adjustable Universal Tablet & iPad Floor Stand w/ Gooseneck Wheels & Mini-Cabinet	Electronics > Computers & Accessories > Tablet Accessories > Stands
5	RCA M3804 4 GB Digital Media Player with 1.5-Inch Display	Electronics > Portable Audio & Video > MP3 & MP4 Players
6	Arccos 360 Tracking System	Electronics > GPS, Finders & Accessories > Sports & Handheld GPS > Golf Course GPS Units
7	DURAGADGET Sturdy Solid Shock and Water Resistant Blue Case - Compatible with Seagate Backup Plus Fast & Backup Plus Slim	Electronics > Computers & Accessories > Computer Accessories & Peripherals > Hard Drive Accessories > Hard Drive Bags & Cases
8	MUXI Flex Zip Tie Nylon Cable Tie Disposable Restraints Training Restraints Tactical Backpack Accessories	Electronics > Accessories & Supplies > Cord Management > Cable Ties
9	ASUS VivoBook 17 17.3" FHD Windows 10 Pro Business Laptop Computer_ AMD Ryzen 3 3250U up to 3.5GHz(Beat i3-8130U)_ 12GB DDR4 RAM, 256GB PCIe SSD_ AC WiFi_ Type-C_ Remote Work_ BROAGE 64GB Flash Drive	Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops
10	JVC KD-TD90BTS CD Receiver Featuring Bluetooth/USB/SiriusXM/Pandora/iHeartRadio/Spotify / 13-Band EQ	Electronics > Car & Vehicle Electronics > Car Electronics > Car Audio > Car Stereo Receivers
11	Sigma 24-70mm f/2.8 DG OS HSM Art Lens for Canon EF with Starter Kit, Sigma Case, Hood, Ultraviolet Filter (UV) Polarizing Filter (CPL) Fluorescent Daylight Filter (FL-D) - International Version	Electronics > Camera & Photo > Accessories > Digital Camera Accessories > Accessory Kits
12	GIGABYTE X570S AERO G (AMD/ X570S/ Ryzen 5000/ ATX/PCIe 4.0/ SATA 20Gb/s/USB 3.2/ Motherboard)	Electronics > Computers & Accessories > Computer Components > Internal Components > Motherboards
